lon,lat,depth
125.160277047489,32.1528801764992,51.0
125.162744447202,32.1528065750873,51.0
125.165338020765,32.1527855461125,51.0
125.161486213542,32.1517130683962,51.0
125.16027354266,32.1507667645289,51.0
125.162832067931,32.1507527452123,51.0
125.164037729155,32.1517551263458,51.0
125.165334515936,32.150745735554,51.0
125.166491109551,32.1517200780545,52.0
125.167640693509,32.1528836813284,52.0
125.167661722483,32.1506896582878,52.0
125.168944489948,32.1517481166876,52.0
125.170087064247,32.1529047103032,52.0
125.170129122197,32.1508158321368,52.0
125.17141889932,32.151783164979,52.0
125.172624560543,32.1528626523535,52.0
125.172631570202,32.150794803162,52.0
125.173977424591,32.15186027122,52.0
125.175330288638,32.1528205944039,52.0
125.17532327898,32.1508508804282,52.0
125.176753249268,32.1519163484862,52.0
125.177909842884,32.1528626523535,53.0
125.178050036049,32.150871909403,52.0
125.179402900097,32.1518041939538,53.0
125.180734735169,32.1530238744939,53.0
125.180804831752,32.1509069576944,53.0
125.18223480204,32.1519794354107,53.0
125.183307279757,32.1532061256091,53.0
125.183286250782,32.1510331315434,53.0
125.184484902347,32.1520985996014,53.0
125.185753650495,32.1531430386846,53.0
125.185634486304,32.1509770542771,53.0
125.186910244111,32.1520144837021,53.0
125.188129924651,32.1530869614184,53.0
125.188242079183,32.151075189493,53.0
125.18951783699,32.1520915899431,54.0
125.191137068051,32.1528626523535,54.0
125.190905749328,32.1508789190613,54.0
125.192503951415,32.1519794354107,54.0
125.193926912046,32.1530098551773,54.0
125.193800738197,32.1509910735937,54.0
125.195230708485,32.152140657551,54.0
125.196485437316,32.1512223923168,54.0
125.192553019023,32.149757373737,54.0
125.195377911309,32.1497713930536,54.0
125.193919902387,32.14856573183,54.0
125.196548524241,32.1486358284128,54.0
125.195405949942,32.1478857949772,54.0
125.196534504924,32.1468764041854,54.0
125.195360387163,32.1459616437803,54.0
125.194007523116,32.1468588800397,54.0
125.192507456245,32.1476579810832,54.0
125.19655202907,32.1448471081143,54.0
125.194063600382,32.1449031853805,54.0
125.192577552827,32.1458284602731,54.0
125.192759803943,32.1437325724484,54.0
125.195507589987,32.1437816400563,54.0
125.196545019412,32.1426671043903,54.0
125.194168745256,32.1426811237069,54.0
125.195444503062,32.1415455590661,54.0
125.192815881209,32.1416507039403,54.0
125.191000379715,32.1487514877743,54.0
125.18955639011,32.1497538689079,53.0
125.186843652357,32.1497678882244,53.0
125.188210535721,32.1486323235836,53.0
125.189647515668,32.1477350873243,53.0
125.19097935074,32.146739715849,54.0
125.191189640489,32.1448190694812,54.0
125.191343852971,32.1428283265307,54.0
125.189850795758,32.1439428621967,54.0
125.188469893077,32.1429404810631,54.0
125.187131048346,32.1417908971058,53.0
125.187004874498,32.1439568815132,53.0
125.188392786836,32.1449452433302,53.0
125.189682563959,32.1458354699313,54.0
125.188287641962,32.1467327061907,53.0
125.186976835864,32.1459616437803,53.0
125.186878700649,32.1477561162991,53.0
125.185637991134,32.1486813911916,53.0
125.184411300935,32.1497608785662,53.0
125.184348214011,32.1477771452739,53.0
125.185708087716,32.1468448607231,53.0
125.18463561,32.1458915471975,53.0
125.185904358148,32.144966272305,53.0
125.184656638975,32.1440480070708,53.0
125.185911367806,32.1429895486711,53.0
125.184460368543,32.1419170709548,53.0
125.1830479224,32.1487865360657,53.0
125.181884319127,32.1497959268575,53.0
125.17922765864,32.1498309751489,52.0
125.180664638586,32.1487795264075,53.0
125.18191235776,32.1478682708315,53.0
125.183153067275,32.1467537351655,53.0
125.181036150475,32.1467607448238,52.0
125.179374861464,32.1477210680077,52.0
125.177888813909,32.1486884008499,52.0
125.176669133369,32.1497538689079,52.0
125.175246172739,32.1487444781161,52.0
125.176627075419,32.1477210680077,52.0
125.177832736643,32.1469009379894,52.0
125.179311774539,32.1460317403631,52.0
125.180566503371,32.1450573978626,52.0
125.181975444684,32.1457373347154,53.0
125.183139047958,32.1449382336719,53.0
125.181575894162,32.1441741809198,51.0
125.18308998035,32.1431017032035,53.0
125.181744125961,32.1420712834368,52.0
125.180398271572,32.1431367514949,52.0
125.1789823206,32.1441882002364,52.0
125.177706562794,32.1450433785461,52.0
125.176507911228,32.1459125761724,52.0
125.175211124447,32.1468028027735,52.0
125.175298745176,32.1450854364957,52.0
125.176434309817,32.1442512871608,52.0
125.177752125573,32.1433190026101,52.0
125.178999844746,32.1421413800196,52.0
125.176322155284,32.1426180367824,51.0
125.177464729583,32.1416366846237,51.0
125.173952890787,32.149781907541,52.0
125.174044016344,32.1478262128819,52.0
125.172628065372,32.148842613332,52.0
125.171198095084,32.1496136757424,52.0
125.171275201325,32.1478332225401,52.0
125.170062530443,32.1486884008499,52.0
125.168849859561,32.1496977916417,52.0
125.168955004436,32.1475738651839,52.0
125.167833459111,32.1486112946088,52.0
125.167700275604,32.1465434454173,51.0
125.168835840245,32.1459265954889,51.0
125.167679246629,32.1449382336719,51.0
125.169985424202,32.1468448607231,52.0
125.171198095084,32.1460317403631,52.0
125.170132627026,32.1449592626468,51.0
125.172586007423,32.1469780442304,52.0
125.17377764933,32.1460317403631,52.0
125.172417775624,32.145092446154,52.0
125.174198228826,32.1446928956323,51.0
125.174857136704,32.1433470412432,51.0
125.173385108466,32.1438727656139,52.0
125.171387355858,32.144153151945,51.0
125.168891917511,32.1440760457039,51.0
125.16759513073,32.1431717997863,51.0
125.169943366253,32.1431297418366,51.0
125.168723685712,32.1423166214765,51.0
125.171219124059,32.1422044669441,51.0
125.172424785282,32.1431858191028,51.0
125.173945881128,32.1424007373759,51.0
