shapeid,partid,x,y
"0","0",125.180440469927,32.1286435747651
"0","0",125.180414013762,32.1286266601678
"0","0",125.180391460965,32.1286028062485
"0","0",125.180379750859,32.1285837231131
"0","0",125.180378883444,32.1285442557195
"0","0",125.180386690181,32.128519534385
"0","0",125.180405773317,32.1284926445124
"0","0",125.180436566558,32.1284635861017
"0","0",125.180472997998,32.1284479726273
"0","0",125.180525042913,32.1284423344282
"0","0",125.180555836154,32.1284475389196
"0","0",125.180585328272,32.1284648872245
"0","0",125.180617856344,32.1284943793429
"0","0",125.180623494543,32.1285186669698
"0","0",125.18062045859,32.1285442557195
"0","0",125.180610049607,32.128572446715
"0","0",125.180580123781,32.1286127815239
"0","0",125.180547595709,32.1286370691507
"0","0",125.180515067638,32.1286479118413
"0","0",125.180440469927,32.1286435747651
"1","0",125.180359366601,32.1289432667323
"1","0",125.180228538346,32.1290303880291
"1","0",125.180136624783,32.1290834648752
"1","0",125.180075780594,32.1291028832335
"1","0",125.180009758175,32.129117123363
"1","0",125.179967037787,32.1291145342485
"1","0",125.1799424412,32.1291041777908
"1","0",125.179908782712,32.1290886431041
"1","0",125.179884186125,32.1290549846163
"1","0",125.179862178652,32.1290148533424
"1","0",125.17985829498,32.1289682492824
"1","0",125.179866062323,32.1289307071229
"1","0",125.179876418781,32.1289048159785
"1","0",125.179889364354,32.1288853976202
"1","0",125.179889364354,32.1288543282468
"1","0",125.179886775239,32.1288284371024
"1","0",125.179868651438,32.1288103133013
"1","0",125.179837582065,32.1287870112713
"1","0",125.17981169092,32.1287844221568
"1","0",125.179766381417,32.1287831275996
"1","0",125.179712010014,32.1287844221568
"1","0",125.17966281684,32.1287921895001
"1","0",125.179622038287,32.1287993095649
"1","0",125.17957867062,32.1288025459579
"1","0",125.17952300466,32.1288070769082
"1","0",125.179469927813,32.1288064296296
"1","0",125.179430443818,32.1288025459579
"1","0",125.179371541464,32.128794131336
"1","0",125.179331410191,32.1287831275996
"1","0",125.179257620429,32.128774065699
"1","0",125.179214900041,32.1287637092412
"1","0",125.179130106542,32.1287514109476
"1","0",125.179042076651,32.128739112654
"1","0",125.178978643347,32.1287345817037
"1","0",125.178965697775,32.1287339344251
"1","0",125.178854365854,32.1287326398679
"1","0",125.178779281535,32.1287332871465
"1","0",125.178752095834,32.128727461639
"1","0",125.178704844495,32.1287248725246
"1","0",125.178673775122,32.1287203415743
"1","0",125.178635585684,32.1287099851165
"1","0",125.178593512574,32.1286970395443
"1","0",125.178548203071,32.1286730902357
"1","0",125.178522311927,32.1286523773201
"1","0",125.178497068061,32.128622602504
"1","0",125.178473118752,32.1285831185087
"1","0",125.178468587802,32.1285403981204
"1","0",125.178471176916,32.1284899103887
"1","0",125.17848347521,32.1284633719656
"1","0",125.178500951732,32.1284232406917
"1","0",125.17851130819,32.1283921713184
"1","0",125.178524253762,32.1283546291589
"1","0",125.178537199335,32.1283280907359
"1","0",125.1785624432,32.1282931376909
"1","0",125.178588334345,32.1282620683175
"1","0",125.178630407455,32.1282290571084
"1","0",125.178680247908,32.1281953986206
"1","0",125.17872555741,32.1281805112125
"1","0",125.178762452291,32.1281740384264
"1","0",125.178833652939,32.1281759802622
"1","0",125.178880256999,32.1281856894414
"1","0",125.178911973651,32.12820963875
"1","0",125.178915857322,32.1282400608448
"1","0",125.178915210044,32.1283106142134
"1","0",125.178919740994,32.1283436254226
"1","0",125.178934628402,32.128381167582
"1","0",125.178975406954,32.1284251825276
"1","0",125.179027189243,32.128462724687
"1","0",125.179069909632,32.1284789066523
"1","0",125.179122339199,32.1285002668465
"1","0",125.179167648702,32.1285119178615
"1","0",125.179200012633,32.1285170960904
"1","0",125.179255031314,32.128517743369
"1","0",125.179310697275,32.1285151542545
"1","0",125.179353417663,32.1285054450754
"1","0",125.179400021723,32.1284912049459
"1","0",125.179444036669,32.1284763175379
"1","0",125.1794764006,32.1284685501945
"1","0",125.179507469973,32.1284562519009
"1","0",125.179541128461,32.1284452481645
"1","0",125.179581259735,32.1284355389853
"1","0",125.179643398481,32.1284297134778
"1","0",125.179735312044,32.1284323025923
"1","0",125.179783210661,32.128424535249
"1","0",125.179833051114,32.1284206515773
"1","0",125.179862178652,32.1284083532837
"1","0",125.17999357621,32.1283721056814
"1","0",125.180032412927,32.1283611019451
"1","0",125.180102966295,32.1283436254225
"1","0",125.180147628519,32.1283371526364
"1","0",125.180202647201,32.1283306798503
"1","0",125.180253134933,32.1283235597856
"1","0",125.180302975386,32.1283235597856
"1","0",125.180508809984,32.1283190288353
"1","0",125.180989737993,32.1283196761139
"1","0",125.181021454645,32.1283106142134
"1","0",125.181078415162,32.1283099669348
"1","0",125.181115310043,32.128311261492
"1","0",125.18115867771,32.1283196761139
"1","0",125.181195572591,32.1283267961787
"1","0",125.181258358616,32.1283442727012
"1","0",125.18129848989,32.1283643383381
"1","0",125.18132179192,32.1283824621392
"1","0",125.181333442935,32.1284038223334
"1","0",125.181332795657,32.1285183906476
"1","0",125.181306257234,32.128567583822
"1","0",125.181292664383,32.1285831185087
"1","0",125.18127971881,32.1285941222451
"1","0",125.181263536845,32.1286206606682
"1","0",125.181220816457,32.1286588501062
"1","0",125.181210459999,32.1286756793501
"1","0",125.181180685183,32.1286931558726
"1","0",125.18113537568,32.1287203415743
"1","0",125.18106546959,32.128747527276
"1","0",125.180993621664,32.128774065699
"1","0",125.180932777475,32.1287902476643
"1","0",125.180860929549,32.1288096660226
"1","0",125.180689400717,32.1288549755254
"1","0",125.180668687801,32.1288543282468
"1","0",125.180495864412,32.1288743938838
"1","0",125.180449907631,32.1288866921774
"1","0",125.180359366601,32.1289432667323
"2","0",125.179565077769,32.130304232336
"2","0",125.179475753321,32.1303178251868
"2","0",125.179405847231,32.1303476000029
"2","0",125.179349533992,32.1304097387496
"2","0",125.179310697275,32.1304725247749
"2","0",125.179284158852,32.130557318273
"2","0",125.179293868031,32.1306311080347
"2","0",125.179306166325,32.1306712393086
"2","0",125.179339177534,32.1307476181847
"2","0",125.179359243171,32.1307929276875
"2","0",125.179404552674,32.1308518300411
"2","0",125.179428501982,32.1308725429567
"2","0",125.179488051615,32.1309217361311
"2","0",125.179554074033,32.1309890531067
"2","0",125.179585143406,32.1310343626095
"2","0",125.179603267207,32.1310965013562
"2","0",125.179619449173,32.1311715856751
"2","0",125.179630452909,32.1312757975315
