shapeid,partid,x,y,fid,ScatterPoint
"0",,125.160277047489,32.1528801764992,"1",51
"1",,125.162744447202,32.1528065750873,"2",51
"2",,125.165338020765,32.1527855461125,"3",51
"3",,125.161486213542,32.1517130683962,"4",51
"4",,125.16027354266,32.1507667645289,"5",51
"5",,125.162832067931,32.1507527452123,"6",51
"6",,125.164037729155,32.1517551263458,"7",51
"7",,125.165334515936,32.150745735554,"8",51
"8",,125.166491109551,32.1517200780545,"9",52
"9",,125.167640693509,32.1528836813284,"10",52
"10",,125.167661722483,32.1506896582878,"11",52
"11",,125.168944489948,32.1517481166876,"12",52
"12",,125.170087064247,32.1529047103032,"13",52
"13",,125.170129122197,32.1508158321368,"14",52
"14",,125.17141889932,32.151783164979,"15",52
"15",,125.172624560543,32.1528626523535,"16",52
"16",,125.172631570202,32.150794803162,"17",52
"17",,125.173977424591,32.15186027122,"18",52
"18",,125.175330288638,32.1528205944039,"19",52
"19",,125.17532327898,32.1508508804282,"20",52
"20",,125.176753249268,32.1519163484862,"21",52
"21",,125.177909842884,32.1528626523535,"22",53
"22",,125.178050036049,32.150871909403,"23",52
"23",,125.179402900097,32.1518041939538,"24",53
"24",,125.180734735169,32.1530238744939,"25",53
"25",,125.180804831752,32.1509069576944,"26",53
"26",,125.18223480204,32.1519794354107,"27",53
"27",,125.183307279757,32.1532061256091,"28",53
"28",,125.183286250782,32.1510331315434,"29",53
"29",,125.184484902347,32.1520985996014,"30",53
"30",,125.185753650495,32.1531430386846,"31",53
"31",,125.185634486304,32.1509770542771,"32",53
"32",,125.186910244111,32.1520144837021,"33",53
"33",,125.188129924651,32.1530869614184,"34",53
"34",,125.188242079183,32.151075189493,"35",53
"35",,125.18951783699,32.1520915899431,"36",54
"36",,125.191137068051,32.1528626523535,"37",54
"37",,125.190905749328,32.1508789190613,"38",54
"38",,125.192503951415,32.1519794354107,"39",54
"39",,125.193926912046,32.1530098551773,"40",54
"40",,125.193800738197,32.1509910735937,"41",54
"41",,125.195230708485,32.152140657551,"42",54
"42",,125.196485437316,32.1512223923168,"43",54
"43",,125.192553019023,32.149757373737,"44",54
"44",,125.195377911309,32.1497713930536,"45",54
"45",,125.193919902387,32.14856573183,"46",54
"46",,125.196548524241,32.1486358284128,"47",54
"47",,125.195405949942,32.1478857949772,"48",54
"48",,125.196534504924,32.1468764041854,"49",54
"49",,125.195360387163,32.1459616437803,"50",54
"50",,125.194007523116,32.1468588800397,"51",54
"51",,125.192507456245,32.1476579810832,"52",54
"52",,125.19655202907,32.1448471081143,"53",54
"53",,125.194063600382,32.1449031853805,"54",54
"54",,125.192577552827,32.1458284602731,"55",54
"55",,125.192759803943,32.1437325724484,"56",54
"56",,125.195507589987,32.1437816400563,"57",54
"57",,125.196545019412,32.1426671043903,"58",54
"58",,125.194168745256,32.1426811237069,"59",54
"59",,125.195444503062,32.1415455590661,"60",54
"60",,125.192815881209,32.1416507039403,"61",54
